Day,Temperature,Humidity,Wind_Speed,Building_Type,Employee_Count,Holiday,Energy_Consumption
254,19.18,71.88,44.84,0,0,0,107.04
227,18.46,74.88,28.8,1,414,0,300.75
112,13.52,11.55,19.95,0,0,0,84.7
99,1.57,84.31,31.96,1,107,0,203.54
153,9.19,82.5,9.38,1,991,0,396.72
349,39.5,58.1,38.22,1,59,0,270.8
338,-2.71,37.91,9.98,1,969,1,302.1
194,17.13,39.52,31.14,2,744,0,426.64
310,33.33,52.82,12.22,2,846,0,513.42
163,12.65,33.33,48.16,1,91,0,194.71
208,20.28,55.28,31.52,2,351,0,371.58
169,31.39,59.43,45.89,2,527,1,388.5
161,17.38,68.28,43.11,1,732,0,352.11
68,26.57,15.26,34.78,1,386,1,242.26
289,7.36,15.34,29.86,0,0,1,14.97
277,26.65,83.8,45.73,2,37,0,339.66
304,-7.95,69.56,25.82,0,0,0,74.23
135,-2.36,37.36,40.38,1,636,0,269.77
195,21.86,11.98,7.17,0,0,0,82.16
128,12.45,58.75,25.47,2,487,0,370.68
33,31.42,29.92,23.07,1,214,0,252.16
176,7.1,14.65,19.8,0,0,0,62.8
22,28.36,70.4,10.47,2,852,0,519.27
238,-3.04,88.13,8.02,1,98,1,169.87
158,36.51,69.77,44.38,2,583,0,462.02
38,10.92,18.97,26.57,2,327,1,298.4
230,1.55,39.42,49.2,2,514,0,368.18
365,29.46,29.86,3.93,2,62,0,329.72
51,37.39,39.92,40.02,1,432,0,298.78
264,35.9,54.61,4.48,0,0,0,146.5
283,1.9,60.79,3.21,1,272,0,251.2
27,23.6,34.66,15.47,0,0,0,93.56
226,17.34,63.94,45.77,1,87,0,213.57
277,26.26,64.75,47.15,0,0,0,118.88
286,14.35,89.45,12.77,0,0,0,117.98
97,13.49,48.49,27.9,1,647,1,279.31
284,34.14,36.3,5.12,2,270,0,393.69
317,33.56,78.63,44.78,2,832,0,497.43
304,29.38,23.45,4.73,2,753,1,434.72
147,25.24,45.75,7.94,1,122,0,245.87
4,23.92,60.12,13.83,1,552,0,326.85
35,-7.19,21.4,12.42,2,528,1,279.13
192,27.48,14.37,21.35,2,114,0,347.43
49,21.91,41.77,5.81,0,0,0,96.1
17,5.12,37.99,15.7,2,329,0,333.23
172,31.01,69.6,38.29,0,0,0,117.55
220,31.62,52.65,19.88,1,65,0,243.71
158,36.61,11.82,42.51,2,872,0,487.62
46,10.92,83.53,14.45,1,988,1,358.5
6,17.56,78.87,22.52,2,429,0,409.6
99,35.3,15.98,19.65,0,0,0,141.94
233,5.84,30.39,27.34,1,772,0,337.85
37,29.83,59.91,48.83,0,0,0,105.47
280,39.6,24.43,5.4,0,0,0,134.15
349,22.6,87.91,49.76,1,511,0,345.16
302,39.19,43.66,10.48,2,425,0,445.67
181,15.79,66.37,8.78,1,944,1,353.85
95,-2.35,50.9,34.84,1,940,0,361.73
99,-1.22,34.67,39.35,0,0,0,73.75
188,26.57,65.75,20.4,0,0,0,124.59
116,-9.95,48.03,36.95,1,664,0,266.39
191,23.09,60.86,21.31,2,711,0,453.59
253,-2.44,41.45,35.99,2,222,0,303.73
161,39.22,89.79,40.52,0,0,0,163.34
256,-1.84,26.53,34.48,0,0,1,10.0
323,17.62,24.65,18.25,2,885,0,463.33
128,23.47,10.75,3.71,2,946,1,428.95
18,30.97,79.64,19.94,1,63,0,238.68
281,12.96,22.57,15.45,0,0,0,83.73
223,36.69,29.73,41.0,0,0,0,113.79
54,14.01,26.51,41.82,0,0,0,88.27
58,2.6,88.34,15.44,2,818,0,473.9
323,19.65,78.24,25.03,0,0,0,145.0
360,22.9,69.93,18.03,1,382,0,317.98
174,15.37,41.05,48.46,1,988,0,393.62
280,26.66,10.54,30.26,2,319,0,369.93
114,11.03,87.43,43.27,0,0,0,96.77
288,-9.78,26.26,26.94,1,676,0,266.73
342,3.23,15.26,11.6,2,162,0,290.37
151,37.3,40.42,16.57,2,756,0,498.63
127,28.16,32.3,27.16,1,503,0,314.91
155,-0.52,85.52,21.84,1,197,0,230.85
273,-6.67,12.18,40.63,2,219,0,286.11
104,7.54,88.31,4.27,1,355,1,231.47
299,31.82,56.94,12.12,0,0,1,86.32
246,-4.7,33.99,47.26,1,154,0,185.12
176,17.17,79.45,32.28,1,329,0,282.76
39,3.75,43.37,39.97,1,471,0,259.76
170,26.31,52.61,49.72,2,28,1,267.46
247,-9.98,21.41,36.44,0,0,0,45.52
26,3.86,80.43,0.93,2,783,0,460.17
355,23.96,80.26,13.67,0,0,0,149.2
306,17.34,70.13,34.76,2,684,0,445.54
13,28.94,68.08,43.28,2,646,0,478.08
316,-2.12,26.02,47.15,0,0,0,20.43
313,16.55,45.41,2.87,0,0,0,118.19
36,-0.21,17.35,2.59,2,479,0,360.87
173,21.96,57.32,31.83,2,317,0,382.77
20,-3.43,26.89,33.29,0,0,0,50.84
321,-2.57,33.88,22.2,0,0,0,69.0
264,6.41,75.25,47.46,2,680,0,420.04
142,10.1,88.81,44.32,0,0,0,82.65
143,14.93,40.38,20.69,1,529,0,302.52
92,19.04,73.55,27.9,2,727,0,468.49
354,13.44,20.56,41.0,2,107,0,294.58
322,-7.72,52.31,30.28,2,442,0,325.28
288,7.17,54.1,9.78,0,0,1,34.58
215,-6.93,81.06,14.25,0,0,0,65.63
342,-4.1,29.31,12.64,1,356,0,229.21
51,-5.36,15.14,21.86,2,734,0,380.69
153,-2.1,37.99,35.68,2,818,1,374.2
186,30.65,69.7,23.5,2,151,0,377.29
63,21.38,13.68,47.49,2,186,0,331.76
190,15.34,21.69,44.88,2,731,0,412.81
125,26.61,13.63,33.88,1,390,0,276.14
150,38.06,49.72,2.26,0,0,0,145.98
314,10.88,76.0,15.66,0,0,0,108.95
58,8.37,31.32,41.18,1,548,0,282.22
342,38.89,12.51,8.51,1,925,1,365.02
305,28.57,24.12,44.54,2,736,0,458.0
180,28.86,16.7,32.85,1,84,0,226.77
170,20.0,54.28,33.74,1,403,0,293.11
326,15.35,50.01,7.29,1,735,1,305.49
271,17.53,29.6,31.11,2,409,1,307.88
54,22.6,77.38,42.6,2,742,0,472.46
101,8.84,42.87,22.14,1,766,0,339.31
264,29.11,87.53,1.88,2,44,1,311.39
53,35.46,28.65,25.72,2,427,0,424.06
60,18.56,59.8,37.47,0,0,0,95.64
108,9.07,73.64,22.65,2,882,1,421.66
5,24.78,25.13,17.85,1,518,0,321.48
103,-0.89,73.46,40.69,2,816,0,442.29
196,38.43,80.74,11.63,1,742,0,430.33
262,22.9,63.42,2.79,1,358,0,302.27
365,-6.62,81.67,46.83,1,298,1,171.98
350,16.49,41.4,25.64,0,0,1,46.7
47,27.52,42.14,10.6,2,682,0,455.33
355,3.89,11.47,48.13,2,830,0,418.83
311,-7.45,73.92,47.81,2,639,0,385.88
308,14.46,12.65,41.14,1,852,1,291.09
144,31.68,31.11,31.76,1,83,0,234.29
269,2.58,59.62,33.67,0,0,0,54.63
124,25.85,58.61,38.31,2,431,0,406.45
106,10.39,48.44,0.65,2,155,0,345.32
158,-7.02,59.41,21.3,1,967,0,353.29
147,5.2,35.78,20.83,1,123,0,206.03
145,5.7,26.3,26.37,2,448,1,315.56
120,35.23,33.44,14.97,1,517,0,347.91
319,39.09,29.8,10.02,2,778,0,488.61
275,0.49,44.33,4.02,1,757,0,331.29
92,11.53,70.66,9.75,1,409,0,289.11
58,38.84,36.01,34.44,0,0,0,136.75
346,10.36,38.46,24.67,2,100,0,295.66
229,7.46,65.79,46.51,1,843,0,355.18
117,-4.51,83.06,10.38,2,19,0,289.25
318,27.66,30.82,20.55,0,0,0,103.54
279,12.35,68.85,13.68,2,221,0,341.61
127,21.93,59.91,5.07,0,0,0,117.91
129,15.49,51.7,3.07,2,18,0,292.04
58,-1.27,11.53,36.84,2,986,0,435.51
122,-1.18,40.46,49.2,1,630,0,288.62
1,36.99,26.43,24.52,2,783,0,486.68
239,34.48,21.21,0.65,2,414,1,368.41
290,20.53,32.04,43.98,2,550,1,354.69
96,-9.94,62.24,6.38,0,0,0,48.48
126,11.66,53.08,6.63,0,0,0,100.13
118,16.52,44.96,3.8,2,815,1,419.65
48,12.47,21.61,3.45,2,212,0,314.48
89,36.27,72.26,36.0,0,0,0,154.91
237,-7.96,48.49,11.33,2,616,0,374.67
272,22.75,61.62,14.51,2,727,0,469.25
189,5.69,12.95,21.98,1,539,0,280.1
192,17.97,81.38,14.26,0,0,0,99.74
69,22.8,51.44,13.24,0,0,0,135.12
278,12.04,37.96,12.81,2,548,0,392.73
349,-2.58,76.15,27.58,0,0,0,64.21
247,15.95,74.94,17.19,1,735,0,369.75
76,36.65,27.6,35.39,1,705,0,371.03
154,16.79,39.69,19.47,1,879,0,369.72
144,-3.85,58.45,18.9,2,232,0,324.86
86,31.21,89.89,44.15,1,955,0,429.51
185,1.09,72.92,16.56,0,0,0,81.7
285,8.51,13.99,42.41,0,0,0,50.62
220,11.44,68.9,39.82,2,921,0,476.94
69,6.98,49.25,35.6,1,195,0,230.35
47,10.22,11.46,15.4,2,285,0,332.75
94,29.77,46.23,26.27,2,589,0,449.83
238,1.17,36.19,2.57,0,0,0,69.62
204,13.52,18.35,1.87,2,969,0,474.63
218,-9.0,52.66,7.57,2,830,0,419.25
341,15.38,85.34,24.36,2,266,0,364.12
39,-4.42,79.97,41.28,1,260,0,211.32
100,4.11,54.84,32.05,0,0,0,84.69
289,6.24,26.53,21.39,0,0,0,65.42
254,-5.88,19.17,22.51,0,0,0,33.31
222,8.03,64.7,49.56,1,80,0,193.66
357,14.9,41.36,19.41,0,0,0,102.3
23,11.55,51.75,16.09,0,0,0,90.26
250,4.02,72.2,19.66,2,578,0,401.83
10,4.74,58.21,47.37,1,800,0,322.99
246,21.68,16.14,3.23,1,112,0,216.95
325,25.92,88.88,31.58,2,554,0,444.77
100,18.83,21.51,43.75,0,0,0,75.53
290,38.81,88.41,26.01,1,323,0,335.61
180,37.24,50.62,18.27,1,850,0,431.07
223,-5.08,77.11,17.45,2,475,1,316.72
250,3.07,19.92,3.33,2,445,0,359.58
147,33.42,78.91,26.81,0,0,0,152.83
96,-8.52,20.35,41.03,1,256,0,192.23
257,19.61,81.21,37.6,2,763,0,491.51
325,37.72,45.41,17.72,0,0,0,126.03
4,23.94,78.91,44.1,1,414,0,306.53
16,-5.4,32.06,7.46,1,529,0,269.62
280,27.39,66.66,41.73,2,899,0,496.48
336,8.82,71.92,43.58,2,753,0,434.32
247,36.08,49.99,39.82,0,0,0,134.45
258,4.32,79.19,47.28,2,764,0,438.17
160,13.66,64.63,46.77,2,522,0,415.43
340,27.33,35.16,0.88,1,522,0,323.65
152,2.88,84.36,25.67,0,0,0,95.84
178,-0.91,37.19,7.12,2,705,0,418.65
163,-9.86,68.48,46.82,0,0,0,55.26
33,14.4,65.41,25.14,2,887,0,491.18
179,36.43,20.56,24.66,0,0,0,124.92
101,4.07,44.24,31.86,0,0,0,71.0
268,-7.83,55.94,8.55,1,105,0,203.39
323,21.02,24.9,30.46,0,0,0,102.34
65,-7.19,17.95,18.57,1,911,0,318.29
168,15.35,53.7,27.09,2,549,0,415.73
330,9.08,22.26,45.62,1,401,0,236.83
43,13.77,73.05,49.2,0,0,0,99.6
44,-1.87,78.43,6.79,0,0,0,70.28
285,-5.49,17.5,21.31,1,851,0,310.59
12,27.45,66.24,9.93,0,0,0,137.49
95,2.28,68.58,38.0,1,586,0,306.59
302,30.02,15.3,8.78,1,497,0,314.49
253,27.92,57.71,15.52,2,734,0,461.68
242,-0.08,59.74,30.56,2,249,0,307.76
35,35.41,50.96,17.38,0,0,0,138.37
215,-1.94,65.19,22.56,2,162,0,290.2
337,29.86,29.76,2.89,2,926,0,484.12
90,11.03,30.9,23.46,2,850,0,438.61
264,-0.85,83.91,25.53,1,119,0,195.32
93,36.91,64.33,40.06,2,311,0,399.21
90,38.16,41.76,20.49,1,349,0,313.11
115,15.57,63.73,13.74,1,947,0,388.7
105,13.46,69.86,47.12,1,218,0,239.79
196,35.04,34.18,19.06,1,265,0,294.94
314,19.81,51.57,5.87,2,418,0,394.09
114,3.3,19.18,41.06,0,0,0,59.38
75,11.26,58.1,6.08,1,116,0,208.76
217,31.8,65.04,23.96,1,156,0,272.93
277,32.98,69.45,43.57,2,319,0,408.56
249,36.96,86.84,39.73,2,6,0,363.46
164,4.41,23.34,34.09,2,644,0,378.13
357,24.0,15.56,27.81,2,206,0,338.07
192,-6.58,85.4,41.48,2,372,0,348.62
227,26.3,61.89,2.58,0,0,0,127.27
177,18.16,55.05,48.65,1,172,0,217.31
99,2.49,43.86,0.34,2,501,0,392.27
36,22.73,45.26,25.95,1,5,0,217.49
96,-3.24,33.76,11.0,0,0,1,10.0
152,6.69,59.97,44.3,0,0,0,91.9
151,10.05,11.23,45.51,0,0,0,69.66
190,28.86,53.53,12.75,1,444,0,331.66
224,5.44,14.65,47.64,2,576,0,360.11
37,-7.55,67.92,35.2,1,209,0,188.98
268,-0.96,86.97,45.0,2,701,0,426.18
183,20.4,24.82,33.04,1,514,0,293.1
13,-9.24,31.95,49.27,0,0,0,34.88
279,29.61,53.09,14.28,2,426,0,417.37
217,35.06,49.19,4.95,2,111,1,326.06
355,14.77,75.3,35.85,0,0,0,118.09
361,25.38,20.05,27.93,0,0,0,97.32
286,13.13,54.25,41.29,2,840,0,458.43
273,5.44,83.78,24.42,2,297,1,306.53
62,-1.76,63.36,45.8,2,842,1,382.2
84,15.91,31.51,25.28,1,966,0,375.68
217,36.49,15.01,42.02,1,248,0,263.01
342,34.5,43.52,40.92,0,0,0,121.81
187,35.98,47.36,15.23,1,746,0,384.91
19,38.32,20.64,30.59,0,0,0,128.36
177,-1.73,48.42,15.85,1,756,1,256.03
100,-2.67,64.14,27.97,2,256,0,320.51
233,11.39,48.04,34.53,2,403,0,362.98
76,24.47,28.13,39.02,0,0,0,103.38
265,11.98,86.67,32.07,1,157,0,230.28
284,34.62,19.2,48.23,0,0,0,113.7
206,25.87,58.67,17.79,0,0,1,74.58
